单元前缀,数量,含义,完整 metric 名
,,,dram__cycles_active_write.avg.pct_of_peak_sustained_region
,,,dram__cycles_active_write.avg.peak_sustained
,,,dram__cycles_active_write.avg.peak_sustained_active
,,,dram__cycles_active_write.avg.peak_sustained_active.per_second
,,,dram__cycles_active_write.avg.peak_sustained_elapsed
,,,dram__cycles_active_write.avg.peak_sustained_elapsed.per_second
,,,dram__cycles_active_write.avg.peak_sustained_frame
,,,dram__cycles_active_write.avg.peak_sustained_frame.per_second
,,,dram__cycles_active_write.avg.peak_sustained_region
,,,dram__cycles_active_write.avg.peak_sustained_region.per_second
,,,dram__cycles_active_write.avg.per_cycle_active
,,,dram__cycles_active_write.avg.per_cycle_elapsed
,,,dram__cycles_active_write.avg.per_cycle_in_frame
,,,dram__cycles_active_write.avg.per_cycle_in_region
,,,dram__cycles_active_write.avg.per_second
,,,dram__cycles_active_write.max
,,,dram__cycles_active_write.max.pct_of_peak_sustained_active
,,,dram__cycles_active_write.max.pct_of_peak_sustained_elapsed
,,,dram__cycles_active_write.max.pct_of_peak_sustained_frame
,,,dram__cycles_active_write.max.pct_of_peak_sustained_region
,,,dram__cycles_active_write.max.peak_sustained
,,,dram__cycles_active_write.max.peak_sustained_active
,,,dram__cycles_active_write.max.peak_sustained_active.per_second
,,,dram__cycles_active_write.max.peak_sustained_elapsed
,,,dram__cycles_active_write.max.peak_sustained_elapsed.per_second
,,,dram__cycles_active_write.max.peak_sustained_frame
,,,dram__cycles_active_write.max.peak_sustained_frame.per_second
,,,dram__cycles_active_write.max.peak_sustained_region
,,,dram__cycles_active_write.max.peak_sustained_region.per_second
,,,dram__cycles_active_write.max.per_cycle_active
,,,dram__cycles_active_write.max.per_cycle_elapsed
,,,dram__cycles_active_write.max.per_cycle_in_frame
,,,dram__cycles_active_write.max.per_cycle_in_region
,,,dram__cycles_active_write.max.per_second
,,,dram__cycles_active_write.min
,,,dram__cycles_active_write.min.pct_of_peak_sustained_active
,,,dram__cycles_active_write.min.pct_of_peak_sustained_elapsed
,,,dram__cycles_active_write.min.pct_of_peak_sustained_frame
,,,dram__cycles_active_write.min.pct_of_peak_sustained_region
,,,dram__cycles_active_write.min.peak_sustained
,,,dram__cycles_active_write.min.peak_sustained_active
,,,dram__cycles_active_write.min.peak_sustained_active.per_second
,,,dram__cycles_active_write.min.peak_sustained_elapsed
,,,dram__cycles_active_write.min.peak_sustained_elapsed.per_second
,,,dram__cycles_active_write.min.peak_sustained_frame
,,,dram__cycles_active_write.min.peak_sustained_frame.per_second
,,,dram__cycles_active_write.min.peak_sustained_region
,,,dram__cycles_active_write.min.peak_sustained_region.per_second
,,,dram__cycles_active_write.min.per_cycle_active
,,,dram__cycles_active_write.min.per_cycle_elapsed
,,,dram__cycles_active_write.min.per_cycle_in_frame
,,,dram__cycles_active_write.min.per_cycle_in_region
,,,dram__cycles_active_write.min.per_second
,,,dram__cycles_active_write.sum
,,,dram__cycles_active_write.sum.pct_of_peak_sustained_active
,,,dram__cycles_active_write.sum.pct_of_peak_sustained_elapsed
,,,dram__cycles_active_write.sum.pct_of_peak_sustained_frame
,,,dram__cycles_active_write.sum.pct_of_peak_sustained_region
,,,dram__cycles_active_write.sum.peak_sustained
,,,dram__cycles_active_write.sum.peak_sustained_active
,,,dram__cycles_active_write.sum.peak_sustained_active.per_second
,,,dram__cycles_active_write.sum.peak_sustained_elapsed
,,,dram__cycles_active_write.sum.peak_sustained_elapsed.per_second
,,,dram__cycles_active_write.sum.peak_sustained_frame
,,,dram__cycles_active_write.sum.peak_sustained_frame.per_second
,,,dram__cycles_active_write.sum.peak_sustained_region
,,,dram__cycles_active_write.sum.peak_sustained_region.per_second
,,,dram__cycles_active_write.sum.per_cycle_active
,,,dram__cycles_active_write.sum.per_cycle_elapsed
,,,dram__cycles_active_write.sum.per_cycle_in_frame
,,,dram__cycles_active_write.sum.per_cycle_in_region
,,,dram__cycles_active_write.sum.per_second
,,,dram__cycles_elapsed.avg
,,,dram__cycles_elapsed.avg.pct_of_peak_sustained_active
,,,dram__cycles_elapsed.avg.pct_of_peak_sustained_elapsed
,,,dram__cycles_elapsed.avg.pct_of_peak_sustained_frame
,,,dram__cycles_elapsed.avg.pct_of_peak_sustained_region
,,,dram__cycles_elapsed.avg.peak_sustained
,,,dram__cycles_elapsed.avg.peak_sustained_active
,,,dram__cycles_elapsed.avg.peak_sustained_active.per_second
,,,dram__cycles_elapsed.avg.peak_sustained_elapsed
,,,dram__cycles_elapsed.avg.peak_sustained_elapsed.per_second
,,,dram__cycles_elapsed.avg.peak_sustained_frame
,,,dram__cycles_elapsed.avg.peak_sustained_frame.per_second
,,,dram__cycles_elapsed.avg.peak_sustained_region
,,,dram__cycles_elapsed.avg.peak_sustained_region.per_second
,,,dram__cycles_elapsed.avg.per_cycle_active
,,,dram__cycles_elapsed.avg.per_cycle_elapsed
,,,dram__cycles_elapsed.avg.per_cycle_in_frame
,,,dram__cycles_elapsed.avg.per_cycle_in_region
,,,dram__cycles_elapsed.avg.per_second
,,,dram__cycles_elapsed.max
,,,dram__cycles_elapsed.max.pct_of_peak_sustained_active
,,,dram__cycles_elapsed.max.pct_of_peak_sustained_elapsed
,,,dram__cycles_elapsed.max.pct_of_peak_sustained_frame
,,,dram__cycles_elapsed.max.pct_of_peak_sustained_region
,,,dram__cycles_elapsed.max.peak_sustained
,,,dram__cycles_elapsed.max.peak_sustained_active
,,,dram__cycles_elapsed.max.peak_sustained_active.per_second
,,,dram__cycles_elapsed.max.peak_sustained_elapsed
,,,dram__cycles_elapsed.max.peak_sustained_elapsed.per_second
,,,dram__cycles_elapsed.max.peak_sustained_frame
,,,dram__cycles_elapsed.max.peak_sustained_frame.per_second
,,,dram__cycles_elapsed.max.peak_sustained_region
,,,dram__cycles_elapsed.max.peak_sustained_region.per_second
,,,dram__cycles_elapsed.max.per_cycle_active
,,,dram__cycles_elapsed.max.per_cycle_elapsed
,,,dram__cycles_elapsed.max.per_cycle_in_frame
,,,dram__cycles_elapsed.max.per_cycle_in_region
,,,dram__cycles_elapsed.max.per_second
,,,dram__cycles_elapsed.min
,,,dram__cycles_elapsed.min.pct_of_peak_sustained_active
,,,dram__cycles_elapsed.min.pct_of_peak_sustained_elapsed
,,,dram__cycles_elapsed.min.pct_of_peak_sustained_frame
,,,dram__cycles_elapsed.min.pct_of_peak_sustained_region
,,,dram__cycles_elapsed.min.peak_sustained
,,,dram__cycles_elapsed.min.peak_sustained_active
,,,dram__cycles_elapsed.min.peak_sustained_active.per_second
,,,dram__cycles_elapsed.min.peak_sustained_elapsed
,,,dram__cycles_elapsed.min.peak_sustained_elapsed.per_second
,,,dram__cycles_elapsed.min.peak_sustained_frame
,,,dram__cycles_elapsed.min.peak_sustained_frame.per_second
,,,dram__cycles_elapsed.min.peak_sustained_region
,,,dram__cycles_elapsed.min.peak_sustained_region.per_second
,,,dram__cycles_elapsed.min.per_cycle_active
,,,dram__cycles_elapsed.min.per_cycle_elapsed
,,,dram__cycles_elapsed.min.per_cycle_in_frame
,,,dram__cycles_elapsed.min.per_cycle_in_region
,,,dram__cycles_elapsed.min.per_second
,,,dram__cycles_elapsed.sum
,,,dram__cycles_elapsed.sum.pct_of_peak_sustained_active
,,,dram__cycles_elapsed.sum.pct_of_peak_sustained_elapsed
,,,dram__cycles_elapsed.sum.pct_of_peak_sustained_frame
,,,dram__cycles_elapsed.sum.pct_of_peak_sustained_region
,,,dram__cycles_elapsed.sum.peak_sustained
,,,dram__cycles_elapsed.sum.peak_sustained_active
,,,dram__cycles_elapsed.sum.peak_sustained_active.per_second
,,,dram__cycles_elapsed.sum.peak_sustained_elapsed
,,,dram__cycles_elapsed.sum.peak_sustained_elapsed.per_second
,,,dram__cycles_elapsed.sum.peak_sustained_frame
,,,dram__cycles_elapsed.sum.peak_sustained_frame.per_second
,,,dram__cycles_elapsed.sum.peak_sustained_region
,,,dram__cycles_elapsed.sum.peak_sustained_region.per_second
,,,dram__cycles_elapsed.sum.per_cycle_active
,,,dram__cycles_elapsed.sum.per_cycle_elapsed
,,,dram__cycles_elapsed.sum.per_cycle_in_frame
,,,dram__cycles_elapsed.sum.per_cycle_in_region
,,,dram__cycles_elapsed.sum.per_second
,,,dram__cycles_in_frame.avg
