单元前缀,数量,含义,完整 metric 名
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.avg.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.avg.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.avg.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.max.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.min.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_hit.sum.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.avg.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.max.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.min.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_red_lookup_miss.sum.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.avg
,,,lts__t_sectors_aperture_sysmem_op_write.avg.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write.avg.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write.avg.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write.avg.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write.avg.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_write.avg.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write.avg.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.avg.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write.avg.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.avg.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write.avg.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.avg.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write.avg.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.avg.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_write.avg.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write.avg.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_write.avg.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_write.avg.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.max
,,,lts__t_sectors_aperture_sysmem_op_write.max.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write.max.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write.max.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write.max.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write.max.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_write.max.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write.max.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.max.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write.max.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.max.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write.max.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.max.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write.max.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.max.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_write.max.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write.max.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_write.max.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_write.max.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.min
,,,lts__t_sectors_aperture_sysmem_op_write.min.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write.min.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write.min.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write.min.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write.min.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_write.min.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write.min.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.min.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write.min.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.min.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write.min.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.min.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write.min.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.min.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_write.min.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write.min.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_write.min.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_write.min.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.sum
,,,lts__t_sectors_aperture_sysmem_op_write.sum.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write.sum.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write.sum.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write.sum.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write.sum.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_write.sum.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write.sum.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.sum.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write.sum.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.sum.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write.sum.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.sum.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write.sum.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_write.sum.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_write.sum.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write.sum.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_write.sum.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_write.sum.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.avg.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.max.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.min.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_hit.sum.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.peak_sustained_frame.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.peak_sustained_region.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.per_cycle_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.per_cycle_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.per_cycle_in_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.per_cycle_in_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.avg.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.max
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.max.pct_of_peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.max.pct_of_peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.max.pct_of_peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.max.pct_of_peak_sustained_region
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.max.peak_sustained
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.max.peak_sustained_active
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.max.peak_sustained_active.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.max.peak_sustained_elapsed
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.max.peak_sustained_elapsed.per_second
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.max.peak_sustained_frame
,,,lts__t_sectors_aperture_sysmem_op_write_lookup_miss.max.peak_sustained_frame.per_second
